text,label,language,notes,stage2_pred,stage2_score,correct,final_prediction,stage3_score,stage3_flags
"Kuda Bank is hosting a financial literacy workshop for university students in Lagos on Friday. Free entry, register on our website.",legitimate,english,Legit workshop,ponzi_related,0.9382709860801696,False,legitimate,0,—
SEC Nigeria warns the public against unregistered investment platforms. Always verify before investing. Full list at sec.gov.ng.,legitimate,english,SEC warning,ponzi_related,0.9882405996322632,False,legitimate,0,—
Palmpay customers can now withdraw at over 50000 agent locations nationwide. Learn more in the Palmpay app or visit our website.,legitimate,english,Legit fintech update,ponzi_related,0.999451220035553,False,legitimate,2,Withdrawal / Deposit Language
"Our mutual fund posted a 12% annual return last year, in line with the NSE index. Past performance does not guarantee future results.",legitimate,english,Legit mutual fund,ponzi_related,0.9912153482437134,False,ponzi_related,3,Guaranteed Returns
"Today's stock market summary: NGX All-Share Index closed at 98,432 points, up 0.4% from yesterday. Banking sector led gains.",legitimate,english,Legit market report,ponzi_related,0.905974507331848,False,legitimate,0,—
"Reminder from Access Bank: Never share your OTP, PIN, or password with anyone. Access Bank will never ask for these details.",legitimate,english,Legit security warning,legitimate,0.9998149275779724,True,legitimate,0,
"Omo make sure say you check your BVN o. If e no dey current, you no go fit do transaction for bank next week.",legitimate,pidgin,Pidgin legit advice,legitimate,0.9998865127563475,True,legitimate,0,
"My brother, make you save small small for Cowrywise or Piggyvest. No be sharp sharp money be the answer — consistency na key.",legitimate,pidgin,Pidgin financial advice,legitimate,0.999783456325531,True,legitimate,0,
CBN don announce say interest rate don go up. E go affect your mortgage if you get one. Call your bank make them explain am to you.,legitimate,pidgin,Pidgin CBN update,legitimate,0.9898840188980104,True,legitimate,0,
Guys na so dem dey scam people. Na why I dey tell una make una no invest for any platform wey dey promise double money.,legitimate,pidgin,Pidgin fraud warning,legitimate,0.993478536605835,True,legitimate,0,
"If you wan invest, try SEC-registered platforms like Cowrywise or ARM. Slow money na better pass fast scam.",legitimate,pidgin,Pidgin legit recommendation,ponzi_related,0.9989786148071288,False,legitimate,0,—
SBI ne naye fixed deposit rates announce kiye hain. Senior citizens ke liye 7.5% interest milega. Nearest branch visit karein.,legitimate,hindi,Hindi legit bank,ponzi_related,0.9989114999771118,False,legitimate,2,Withdrawal / Deposit Language
"Aaj share bazaar me Nifty 50 24,200 par band hua. Banking aur IT sector me achha performance dikha.",legitimate,hindi,Hindi market report,ponzi_related,0.9959542751312256,False,legitimate,0,—
RBI ki nayi guidelines ke anusaar UPI transactions par koi extra charge nahi lagega. Personal accounts safe hain.,legitimate,hindi,Hindi RBI update,ponzi_related,0.995799958705902,False,legitimate,0,—
Dost investment shuru karne se pehle SEBI registered advisor se baat karo. Koi bhi scheme jo high return guarantee kare usse bacho.,legitimate,hindi,Hindi safety advice,ponzi_related,0.9994693398475648,False,ponzi_related,6,"Guaranteed Returns, Pyramid / Network Structure"
Tax filing ka last date 31 July hai. Apna ITR time par bhar lein. CA se help le sakte hain agar samajh nahi aaraha.,legitimate,hindi,Hindi tax reminder,legitimate,0.9997939467430116,True,legitimate,0,
Bank Indonesia mengumumkan suku bunga acuan tetap di 6%. Keputusan ini berlaku mulai minggu depan.,legitimate,indonesian,Indonesian BI update,legitimate,0.9877419471740724,True,legitimate,0,
OJK mengingatkan masyarakat untuk selalu cek izin resmi platform investasi di sikapiuangmu.ojk.go.id sebelum menyetor dana.,legitimate,indonesian,Indonesian OJK warning,legitimate,0.96470046043396,True,legitimate,0,
"IHSG hari ini ditutup menguat 0.8% di level 7,450. Sektor perbankan menjadi penggerak utama kenaikan.",legitimate,indonesian,Indonesian market report,legitimate,0.9908803701400756,True,legitimate,0,
BCA meluncurkan fitur baru di myBCA untuk pembayaran pajak langsung dari aplikasi. Gratis untuk semua nasabah.,legitimate,indonesian,Indonesian bank update,ponzi_related,0.9953578114509584,False,legitimate,0,—
Reksa dana saham mencatat return 9% per tahun sesuai benchmark IHSG. Kinerja masa lalu tidak menjamin hasil di masa depan.,legitimate,indonesian,Indonesian mutual fund,legitimate,0.9932202100753784,True,legitimate,0,
Jangan tergiur iming-iming investasi bodong! Selalu cek legalitas di situs OJK sebelum berinvestasi.,legitimate,indonesian,Indonesian scam warning,ponzi_related,0.9973480701446532,False,legitimate,0,—
"Hello! Your electricity bill for this month is ₦8,450. Pay before the 15th to avoid disconnection. Use the NEPA mobile app.",legitimate,english,Utility bill,ponzi_related,0.9613655805587769,False,legitimate,0,—
Thank you for shopping with Jumia. Your order #JM-88271 has been dispatched and will arrive in 2 business days.,legitimate,english,Ecommerce notice,legitimate,0.648807168006897,True,legitimate,0,
Reminder: The University of Lagos second semester registration closes on Friday. Please complete your course registration on time.,legitimate,english,University notice,legitimate,0.9998630285263062,True,legitimate,0,
"Bhai yeh article padho — India me top 5 mutual funds ke baare me achhi jaankari hai. No promotion, just information.",legitimate,hindi,Hindi article share,ponzi_related,0.9994533658027648,False,legitimate,2,Social Proof Manipulation
