alert_id,timestamp,platform,text,true_label,risk_score,risk_level,flags_triggered,ponzi_unique_flags,explanation,stage3_alert
PG-20260524-00020,2026-05-24T19:56:15.940876,Telegram,"This is a MIME Message------=_NextPart_000_007F_01BDF6C7.FABAC1B0
Content-Type: multipart/alternative; boundary=""----=_NextPart_001_0080_01BDF6C7.FABAC1B0""------=_NextPart_001_0080_01BDF6C7.FABAC1B0
Content-Type: text/plain; charset=""iso-8859-1""
Content-Transfer-Encoding: quoted-printable***** This ",ponzi_related,5,MEDIUM,1,1,Triggered 1 rule(s) including 1 Ponzi-specific pattern(s). Risk score: 5. Categories: Unrealistic ROI.,True
PG-20260524-00021,2026-05-24T19:56:15.940994,Telegram,wow!! this is amazing i just got paid again earned 13050 with 1000 im so happy that i met a reliable bitcoin investment manager who always stood by her words when it comes to trade i highly recommend her to all investors and everyone who wants to trade for the first time to join me now and start ear,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00022,2026-05-24T19:56:15.941378,Telegram,"refinancing has never been so easy to remove your address and receive no future free insider software = sales , specials , or business opportunities from the net-advertiser = simply type "" remove "" in the subject . cross county funding puts dollars in your pocket for the past several years , cross c",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00023,2026-05-24T19:56:15.941465,Telegram,"Bro check this out — I started with ₦50,000 on this AI trading platform 3 weeks ago. Now my balance is ₦280,000. Withdrew ₦100k yesterday. Real talk, no scam. DM me.",ponzi_related,3,LOW,2,0,"Triggered 2 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 3. Categories: Unregulated Crypto / Forex, Social Proof Manipulation.",False
PG-20260524-00024,2026-05-24T19:56:15.941544,Telegram,"Trading masters group offer! Rp 600rb entry, signals make Rp 150rb+ daily. 95% accuracy. Sudah 7000+ members. Withdraw profits ke DANA/OVO/GoPay anytime.",ponzi_related,1,LOW,1,0,Triggered 1 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 1. Categories: Withdrawal / Deposit Language.,False
PG-20260524-00025,2026-05-24T19:56:15.941716,Telegram,prime video monthly accounts only 20rs per account bulk also available 🔥features ➡️antiban ➡️fully private ➡️personal account ➡️5 1 profiles ➡️indian account ➡️30 days replacement guarantee ➡️bulk also available ➡️no otp issues ➡️pass changeable ➡️mail changeable ➡️mail access account will be made o,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00026,2026-05-24T19:56:15.941965,Telegram,"logo , stationer , website design and so much more ! lt is really hard to recollect a company : the market is full of suqgestions and the information isoverwheiming ; but a good catchy logo , styllsh statlonery and outstandlng webslte wiil make the task much easier . we do not promise that having or",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00027,2026-05-24T19:56:15.944958,Telegram,"industry giants can ' t match this opportunity another ground breaking news alert from rlyc . the potential stored - value debit card market in the united states alone is approximately 150 million people , of which only about 12 million now maintain active stored - value debit card accounts . one co",ponzi_related,6,MEDIUM,2,1,"Triggered 2 rule(s) including 1 Ponzi-specific pattern(s). Risk score: 6. Categories: Pyramid / Network Structure, Withdrawal / Deposit Language.",True
PG-20260524-00028,2026-05-24T19:56:15.945040,Telegram,8007 25p 4 alfie moons children in need song on ur mob tell ur m8s txt tone charity to 8007 for nokias or poly charity for polys zed 08701417012 profit 2 charity,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00029,2026-05-24T19:56:15.945230,Telegram,"you ' ll benefit by shopping for your prescriptions online . all the meds offfered online are on sale now . hurry , find the one you need and order online now . end of year sale on meds for pain relief , anxiety relief , anti - depressant , high cholesterol , heart disease , sexual health , women ' ",ponzi_related,2,LOW,1,0,Triggered 1 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 2. Categories: Urgency / Scarcity.,False
PG-20260524-00030,2026-05-24T19:56:15.945387,Telegram,congratulations on your 6 new signups we guarantee you free signups before you ever pay a penny we will show you the money before you ever take out your wallet sign up for free and test drive our system no obligation whatsoever no time limit on the test drive our system is so powerful that the syste,ponzi_related,5,MEDIUM,1,1,Triggered 1 rule(s) including 1 Ponzi-specific pattern(s). Risk score: 5. Categories: Pyramid / Network Structure.,True
PG-20260524-00031,2026-05-24T19:56:15.945525,Telegram,😍😍😍😍😍😍😍 duniya ki sbse biggest loot 😍agyi he dhamakedar loot biggest loot he sbse miss mt krna koi 💝💖sin up 10 per refer 20 minimum reacharge 100 minimum reedem 100 refer kro or earn kro jisko reacharge nhi krna to biggest biggest biggest loot he 💵play teen patti and win real cash!💵 🔥install and got,ponzi_related,1,LOW,1,0,Triggered 1 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 1. Categories: Withdrawal / Deposit Language.,False
PG-20260524-00032,2026-05-24T19:56:15.945609,Telegram,you are just too legit keeping to your words mrs janet 5th profit just received in my wallet thank you ma i keep give testimonies about you and your company 👇👇👇 @profitabletrading12,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00033,2026-05-24T19:56:15.945681,Telegram,earnings calger $ 42 pastoria $ 7 q 2 & $ 10 q 3 fountain valley $ 2 7 eas $ 3 . 5 delta $ 7 m cdwr option $ 80 m to date,legitimate,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00034,2026-05-24T19:56:15.946058,Telegram,"HELLO,I AM A CITIZEN OF ZAIRE, SON OF THE LATE FORMER
PRESIDENT OF ZAIRE (PRESIDENT MOBUTU SESE SEKO)
SINCE THE DEATH OF MY LATE FATHER SOME YEARS AGO I HAVE
BEEN RESIDING IN SOUTH AFRICA ON TEMPORARY POLITICAL ASYLUM. ON MY ARRIVALIN SOUTH AFRICA AFTER MY LATE FATHER'S BURIAL, I CAME IN WITH A DIPL",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00035,2026-05-24T19:56:15.946141,Telegram,EXCLUSIVE drop! Hamara wealth multiplication program ₹20k ko ₹1.2 lakh banata hai 21 din mein. Tested 5000+ times. Verified bank withdrawals. 100 slots daily.,ponzi_related,2,LOW,2,0,"Triggered 2 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 2. Categories: Withdrawal / Deposit Language, Social Proof Manipulation.",False
PG-20260524-00036,2026-05-24T19:56:15.946546,Telegram,"Legal TV DescarmblerWant to watch Sporting Events?--Movies?--Pay-Per-View?? 
You can assemble from electronic store parts for about $12.00.
We Send You:
E-Z To follow Assembly Instructions
E-Z To read Original Drawings.
Electronic parts lists.PLUS SOMETHING NEW YOU MUST HAVE! 
Something you can't do",ponzi_related,2,LOW,1,0,Triggered 1 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 2. Categories: Urgency / Scarcity.,False
PG-20260524-00037,2026-05-24T19:56:15.947549,Telegram,"nathaniel energy ( otcbb : necx ) strap your portfolio to a rocket ? the growth stock report : nathaniel energy ( alternative energy company ) the next gangbuster growth stock ? nathaniel energy ( 0 tcbb : necx ) revenues ql 2004 : $ 3 , 346 , 792 vs . ql 2003 : $ 104 , 915 ( source : 10 q 5 / 14 / ",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00038,2026-05-24T19:56:15.947639,Telegram,i never believe its until i experienced it for a l deposited € 500 for a test in 3 days i got a return of € 5500 am so happy i invested under your  @perkinstrader 👇👇👇👇👇👇👇,ponzi_related,1,LOW,1,0,Triggered 1 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 1. Categories: Withdrawal / Deposit Language.,False
PG-20260524-00039,2026-05-24T19:56:15.948053,Telegram,"tinydrive usb 2 . 0 mobile 2 . 2 gb storage drive @ $ 187 . 00 tinydrive 2 . 2 gb . 5 x 2 . 25 x 2 . 5 - inches ( h x w x d ) 2 . 2 gigabytesmobile storage driveusb 2 . 0 $ 187 . 00 "" lightweight and compact design "" visit : http : / / www . computron - me . com for deals ! tinydrive usb 2 . 0 mobil",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00040,2026-05-24T19:56:15.948215,Telegram,you are approved for your loan approval no 1848025 refinancing your mortgage may be easier then you think now that rates are down this may be a good time to start saving money click here for all details free service for usa homeowners whether your credit rating is a or you are credit challenged we h,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00041,2026-05-24T19:56:15.948294,Telegram,r u looking parttime income no investment free trainings if y ur welcome in business opportunity 100 natural aloevera honey products call:9310010818,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00042,2026-05-24T19:56:15.948385,Telegram,do you know you can earn over 2000 daily online with just sign up with your gmail account? just click on this channel to start up your earnings no illegal charges involved and withdrawal is available every 24hours 👇👇👇👇👇,ponzi_related,1,LOW,1,0,Triggered 1 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 1. Categories: Withdrawal / Deposit Language.,False
PG-20260524-00043,2026-05-24T19:56:15.949022,Telegram,aggressive traders benefit from record - shattering achievements newsletter - june issue 2 oo 5 in june ' s issue we are going to profile a stoc . k that is very much undervalued and is involved in the red hot homeland security sector . ground floor opportunity for everybody . this small treasure is,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00044,2026-05-24T19:56:15.949202,Telegram,"Below is the result of your feedback form.  It was submitted by
 (reenspring@happyman.com) on Thursday, August 8, 2002 at 08:36:27
---------------------------------------------------------------------------message: - - - - - FREE FREE FREE! - - - - - Thats right free unlimited web cam feeds! - chat!",ponzi_related,2,LOW,1,0,Triggered 1 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 2. Categories: Urgency / Scarcity.,False
PG-20260524-00045,2026-05-24T19:56:15.949281,Telegram,"AI Trading Bot Indonesia! Baru launch! Deposit Rp 1.5 juta, hasilkan Rp 250rb daily selama 30 hari. Tidak perlu skill trading. Bot lakukan semuanya. Join Telegram below.",ponzi_related,3,LOW,2,0,"Triggered 2 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 3. Categories: Unregulated Crypto / Forex, Withdrawal / Deposit Language.",False
PG-20260524-00046,2026-05-24T19:56:15.949579,Telegram,"now you can last all weekend long w . ith no problem connotative html body phel ! - - senorita - - lo , br br wan ! - - avoidance - - na go all wee ! - - kurt - - kend ? br for ! - - sickroom - - get via ! - - crispin - - gra , we h ! - - adelia - - ave cia ! - - frighten - - lis che ! - - planar - ",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00047,2026-05-24T19:56:15.949731,Telegram,message report from your contact page ytu 855 rkq check the available reports you would like to receive keep on top of the latest news get great special deals now it is complimentary it costs nothing you can quit anytime financial stocks loans mortgage financial news stock market government politics,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00048,2026-05-24T19:56:15.949827,Telegram,"unfaithful wives directory of unfaithful wives would you like to start an affair with a local woman ? married ladies looking for a good for an affair http : / / www . pinpoint . companionplay . com * only $ 1 membership , to verify your legal age new ! we now honor your requests , here",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00049,2026-05-24T19:56:15.949982,Telegram,partnership from zimmy mabo tel 0031 623 787 971 e mail infoeurope lycos com the nederlands soliciting for a business venture and partnership before i proceed am greatful to introduce my self my name is mr zimmy mabo a zimbabwean i was formaly a personal aid to president robert mugabe due to my posi,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00050,2026-05-24T19:56:15.950739,Telegram,"FROM:MR JOE MARK
EMAIL FAX: 1 561 619 2791
EMAIL:mrjoemark@yahoo.comDEAR SIR
 
REQUEST FOR URGENT BUSINESS RELATIONSHIP ï¿½ STRICTLY
CONFIDENTIAL.
 
Firstly, I must solicit your strictest confidentiality
in this transaction. This is by virtue of its nature
as being utterly CONFIDENTIAL and ï¿½TOP SE",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00051,2026-05-24T19:56:15.950979,Telegram,"re : huge profit on e b a y learn all the tips , tricks and secret the pros use with out ecourse . . . our ebay marketing ecourse is a straight forward low learning curve ecourse . it is a self executing windows program ( . exe ) written and compiled by online auction pros . we show you everything ,",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00052,2026-05-24T19:56:15.951154,Telegram,adult club offers free membership instant access to all sites now your user name and password is user name zzzz url password 1635465 1635465 of the best adult sites on the internet for free news 1635465 1635465 1635465 with just over 1635465 1635465 million members that signed up for free last month,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00053,2026-05-24T19:56:15.951236,Telegram,Bot mining crypto terbaru! Hubungkan wallet Anda dan dapatkan Rp 500.000 per hari otomatis. 100 pengguna pertama bonus Rp 2 juta. Buruan daftar 🚀,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00054,2026-05-24T19:56:15.951378,Telegram,im sorry this doesnt go along with this post but i want to share my testimony continually falling for scams simply means that you are been convinced by sweet words i dont believe in talking much about my rough beginning or sharing my ugly beginning to entice people but i did loose a lot to scammersi,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00055,2026-05-24T19:56:15.951582,Telegram,"stock business from : rev . water ibe financial director nnpc . my name is rev . water ibe working with nnpc who wants to invest in stock business and other relevant business as you may advice in your country . the fund will be delivered to you in your country , if you want to be part of this transa",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00056,2026-05-24T19:56:15.952177,Telegram,"technica | piay in moti 0 n on penny stock us oil and gas report oil climbs , gains soar we have the | eading track record for finding fast moving , low - priced energy plays . look at the moves made by our last 2 hot picks : sprl . 14 to . 36 in 12 days , up 157 % prvb . 10 to . 265 in 8 days , up ",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00057,2026-05-24T19:56:15.953077,Telegram,top hot pick in the right sector at the right time geec geec geec geec geec gioba | environmenta | energy corp . ( otc - bb : geec ) shares outstanding : 35 million approx . fioat : 9 miliion 30 day target : 6 . 25 6 month price projection : 15 . oo recent news and major share - price driving miiest,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00058,2026-05-24T19:56:15.953400,Telegram,"inexorable akers explanatory prohibit hi , genierc and super viarga ( caiils ) available online ! most trusted online source ! cilais or ( spuer vagira ) takes affect right away lasts 24 - 36 hours ! for suepr vairga cilck here genierc virgaa costs 60 % less ! save a lot of $ . for vigara cilck here",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00059,2026-05-24T19:56:15.953474,Telegram,ill help 10 people earn 5000 in 12hours but you will pay me 10 of your profits when you receive your profits ask me how,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00060,2026-05-24T19:56:15.953543,Telegram,🚀 adx 10 profit so far and still counting 😍,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00061,2026-05-24T19:56:15.953690,Telegram,all graphics software available cheap oem versions good morning we we offer latest oem packages of all graphics and publishinq software from corel macromedia adobe and others 80 adobe photoshop 8 0 cs 140 macromedia studio mx 2004 120 adobe acrobat 7 0 professional 150 adobe premiere pro 1 5 90 core,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00062,2026-05-24T19:56:15.953774,Telegram,"Naya AI mining program launched! ₹40k starter package, 6% daily for 25 days. Withdraw anytime. Refer 5 dost get free upgrade to Premium.",ponzi_related,5,MEDIUM,2,1,"Triggered 2 rule(s) including 1 Ponzi-specific pattern(s). Risk score: 5. Categories: Tiered Investment Packages, Withdrawal / Deposit Language.",True
PG-20260524-00063,2026-05-24T19:56:15.954621,Telegram,"grand - slam stox momentum alert issued for july 6 - 8 , 2005 explosive pick for our members - - up 0 . 52 ( 13 . 16 % ) ! tuesday july 5 th ! ! ! ! ! see tuesday july 5 th , heavy trading has started 6 x its normal 10 day avg , ride the stairway to heaven ! ! ! ! good day to all broker ' s , day tr",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00064,2026-05-24T19:56:15.954710,Telegram,🚫 due to copyright issues we are shifting our channel to this channel 😭 🔗 link of our new channel please guys show some support to our new channel ❤️ we will post many netflix there 🔥 🔗 join now,ponzi_related,2,LOW,1,0,Triggered 1 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 2. Categories: Urgency / Scarcity.,False
PG-20260524-00065,2026-05-24T19:56:15.954846,Telegram,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that "" &lt;#&gt;  lac crore"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi",legitimate,1,LOW,1,0,Triggered 1 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 1. Categories: Withdrawal / Deposit Language.,False
PG-20260524-00066,2026-05-24T19:56:15.954929,Telegram,"Market Internet Access No Investment Needed Premium Internet Access for only $14.95 per month or less! Earn $1 per Subscriber per monthGo To:http://new.isp.50megs.com/
1918BQhX5-227CpaM0598cJWr2-912YmJg32l34",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00067,2026-05-24T19:56:15.955029,Telegram,attention this is a must for all computer users new special package deal norton systemworks 1635465 software suite professional edition includes six yes 1635465 feature packed utilities all for 1635465 special low price 1635465 feature packed utilities 1635465 great price a 1635465 combined retail v,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00068,2026-05-24T19:56:15.955110,Telegram,"Premium investment club exclusive offer! ₹50,000 join-up fee paao ₹25,000 weekly 8 hafte tak. Total ₹2 lakh. SEBI compliant. Trusted platform. DM admin.",ponzi_related,1,LOW,1,0,Triggered 1 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 1. Categories: Social Proof Manipulation.,False
PG-20260524-00069,2026-05-24T19:56:15.955362,Telegram,"for your eyes only hi , my name is lakeisha and i was asked by sanchez to talk to you about the benefits of the product that i am using . i have been married for over 12 years now and lately , like all marriage ' s , we have become more and more distant from each other . we have not been intimate in",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00070,2026-05-24T19:56:15.956851,Telegram,newsletter # 4586 new york times financial digest investor alert on new hot issue take a look at our some of our most recent strong buy recommendations . . . november gdvi at 0 . 04 high 0 . 29 . . . 625 % gain ! december htsc at 0 . 70 high 2 . 95 . . . 329 % gain ! march / april dmty at 0 . 30 hig,ponzi_related,2,LOW,1,0,Triggered 1 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 2. Categories: Urgency / Scarcity.,False
PG-20260524-00071,2026-05-24T19:56:15.957157,Telegram,give her something to smile about my girlfriend loves the results but she doesn t know what i do she thinks it s natural thomas ca i ve been using your product for 4 months now i ve increased my length from 2 to nearly 6 your product has saved my sex life matt fl pleasure your partner every time wit,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00072,2026-05-24T19:56:15.957310,Telegram,start mining pi cryptocurrency today with free & energylight mobile app this free pi mining app has a limited time offer so grab this chance and create your pi account dont get left behind again take action download the app now !🤗🤳 📲android⤵️ invitation code kndlovu 📲ios ⤵️ invitation code kndlovu 🎉,ponzi_related,2,LOW,1,0,Triggered 1 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 2. Categories: Urgency / Scarcity.,False
PG-20260524-00073,2026-05-24T19:56:15.958310,Telegram,"v
America's #1 Government Grant Program!
The Federal Government Gives Away Billions of Dollars In Grants Each & Every Year (Free
                            Money!)
                            Take Advantage Of This Opportunity Today And Change Your Life
                            Forever!
Â  30 DA",ponzi_related,3,LOW,2,0,"Triggered 2 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 3. Categories: Urgency / Scarcity, Withdrawal / Deposit Language.",False
PG-20260524-00074,2026-05-24T19:56:15.958427,Telegram,honestly i want to appreciate mr vincent hawkins who has brought so much light into my life in a short period of time i started investing with a minimum of $300 and now i earn up to $4000 a week basis i cant thank you enough sir i will be forever grateful to you sir 👇👇👇👇 @earngloballywe @earngloball,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00075,2026-05-24T19:56:15.958604,Telegram,http www virtu ally anywhere com sports hello i was hoping you could help me the link above takes you to several facility stadiumtours created by virtually anywhere interactive i would like to introduce the concept of a virtual tour to the appropriate people at your organization our current customer,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
